place_id,name,lat,lng,type,rating,review_count,price_level,is_operational,source
osm_2006116226,Tifin Home,27.7175696,85.3289324,cafe,,,,True,openstreetmap
osm_2006144707,Bhatbhateni Cafe,27.7200213,85.330637,cafe,,,,True,openstreetmap
osm_2006419428,Aabhusan Cafe,27.712805,85.32775,cafe,,,,True,openstreetmap
osm_2027854015,MoM'S KITCHEN,27.6914823,85.3329545,cafe,,,,True,openstreetmap
osm_2027866686,Anmol Catering Service,27.6906279,85.3348877,cafe,,,,True,openstreetmap
osm_2028654097,Unknown Cafe,27.6997967,85.3442166,cafe,,,,True,openstreetmap
osm_2039623011,Green Cafe,27.6753443,85.3447602,cafe,,,,True,openstreetmap
osm_2047712323,City Food Cafe Restaurant,27.6813986,85.317548,cafe,,,,True,openstreetmap
osm_2071332684,NAXA Canteen,27.7307848,85.3295597,cafe,,,,True,openstreetmap
osm_2072662338,Lama's Cafe,27.7303055,85.325174,cafe,,,,True,openstreetmap
osm_2073153212,Niyalo Cafe,27.7309421,85.3298884,cafe,,,,True,openstreetmap
osm_2074278687,Centre Point Cafe,27.7306908,85.3258394,cafe,,,,True,openstreetmap
osm_2077194592,80's Cafe,27.7419992,85.3310492,cafe,,,,True,openstreetmap
osm_2077238425,New Horizon cafe,27.7385718,85.3252583,cafe,,,,True,openstreetmap
osm_2077238426,Oasis Cafe,27.7396353,85.3269549,cafe,,,,True,openstreetmap
osm_2079502752,Green Belt Momo centre,27.7423306,85.3332257,cafe,,,,True,openstreetmap
osm_2082921627,शिशा क्याफे र लाउन्ज,27.703437,85.3103733,cafe,,,,True,openstreetmap
osm_2082988632,A to Z Bakery Cafe,27.7209147,85.331515,cafe,,,,True,openstreetmap
osm_2083721972,Everest Tea House,27.7035939,85.3076355,cafe,,,,True,openstreetmap
osm_2083743586,बज्र क्याफे,27.7044882,85.3062093,cafe,,,,True,openstreetmap
osm_2084372327,Sarita Bakery & Cafe,27.7216891,85.3355606,cafe,,,,True,openstreetmap
osm_2088458832,Radhe Radhe Bakery Cafe,27.7213424,85.337798,cafe,,,,True,openstreetmap
osm_2090601780,Barista Lavazza,27.718423,85.3189324,cafe,,,,True,openstreetmap
osm_2090623548,दरबार क्याफे र फास्ट फूड,27.7179881,85.3217275,cafe,,,,True,openstreetmap
osm_2090626818,Falcha cafe,27.717935,85.3307553,cafe,,,,True,openstreetmap
osm_2090732553,Peace Corner Food Cafe,27.7174037,85.3251821,cafe,,,,True,openstreetmap
osm_2090735351,अनु बेकरी र कफी पसल,27.7169692,85.3333621,cafe,,,,True,openstreetmap
osm_2090735354,BNR Coffee Shop and Cold Store,27.7165157,85.3330091,cafe,,,,True,openstreetmap
osm_2091833637,Sushant Bakery Cafe,27.719776,85.3373561,cafe,,,,True,openstreetmap
osm_2097704747,Coffee Express,27.710668,85.3177124,cafe,,,,True,openstreetmap
osm_2110391641,Prashanna's Cafe,27.6706835,85.2790149,cafe,,,,True,openstreetmap
osm_2111924049,Bajra Cafe,27.7089027,85.289138,cafe,,,,True,openstreetmap
osm_2117332527,Top Of The World Coffee,27.6806586,85.3104612,cafe,,,,True,openstreetmap
osm_2122394955,Peace Zone Cafe,27.6937402,85.2824554,cafe,,,,True,openstreetmap
osm_2144299583,Tukche Cafe,27.7244731,85.3311136,cafe,,,,True,openstreetmap
osm_2164025605,College Cafe,27.6892373,85.3121829,cafe,,,,True,openstreetmap
osm_2164964250,ASSA Cafe,27.6701365,85.3096762,cafe,,,,True,openstreetmap
osm_2166417287,The Bakery Cafe,27.7012362,85.3110726,cafe,,,,True,openstreetmap
osm_2166592516,The Coffee Shop,27.7113258,85.3173738,cafe,,,,True,openstreetmap
osm_2166593496,Magic Beans,27.7105055,85.3177578,cafe,,,,True,openstreetmap
osm_2166597514,Himalayan Java,27.703746,85.3076481,cafe,,,,True,openstreetmap
osm_2166606917,Snowman,27.702504,85.3079539,cafe,,,,True,openstreetmap
osm_2174589424,Lumbini Cafe,27.6948877,85.3405908,cafe,,,,True,openstreetmap
