,rf_test_r2,rf_test_rmse,rf_test_mae,xgb_test_r2,xgb_test_rmse,xgb_test_mae
v2_80_20,0.9515913270939588,3.9555016502670446,2.92632686953444,0.9657799717494726,3.3256777393674377,2.3784822770170537
v3_85_15,0.9534576394242517,3.7689623470907314,2.8066598204615176,0.96846274420243,3.1024839672984372,2.1575801032747055
