osm_id,highway_type,name,nodes
24684294,residential,Karunamaya Marg,"[268307839, 564129602, 7693109560, 3925024545, 7693109559, 268308144, 6089575663, 7693109563, 7693109564, 1962233644, 5047884662, 9859883790, 9859883791, 1962231660, 268308155, 1759672087, 4333265319]"
24684297,steps,Unnamed,"[5858162312, 2874197168, 560486646, 5858162305, 5858162304, 560486645, 560486644, 560486643, 560486642, 560486641, 560486640, 1805146172, 560486639, 560486636]"
24684520,primary,बालाजु माछा पोखरी - बाइपास,"[31303549, 268310351, 11070794685, 9964770270, 268310354, 9965466720, 1875604393, 268310355, 2516891341, 268310357, 13058002114, 268310359, 13058002104, 9965397395, 3492563619, 5695653555, 3050336823, 268310364]"
24691221,secondary,बिजेश्वरी पुल,"[268116995, 268116996]"
24691222,trunk,गणेशमान सिंह पथ,"[268114145, 1835366042, 10725355643, 1645448851, 668709140, 10917548485, 1965705724, 764944507, 10917548487, 1895480561, 671498626, 1778815368, 1278041286]"
24691223,trunk,गणेशमान सिंह पथ,"[268114141, 268114145]"
24707457,secondary,प्रदर्शनी मार्ग,"[1830679642, 4915380604, 4915380565, 4915380424]"
24707526,residential,Unnamed,"[1832396878, 1832396871, 1832396858, 1832396844, 2838864612, 4416279338, 1832396842, 1832396835, 4416279344]"
24707543,secondary,स्वयम्भू परिकर्मा,"[5066917669, 5066917668, 296344440]"
24707651,steps,Unnamed,"[2622021489, 5858162126, 268546902, 5858162127, 4416287252, 268546901, 1211161780, 5858162128, 268546900, 268546899, 5858162129, 268546898, 13208526285, 5858161980, 268546897, 268546895, 3066526962]"
25512472,primary,पासाङ ल्हामु राजमर्ग,"[268310378, 5780460347, 2766836197, 2766836201, 268310379, 3497683022, 3518913017, 2766836204, 1633673568, 3518913018, 5780460338, 268310380, 4170377007, 5780460339, 3029441709, 4027515567, 4027483869, 3518913021, 3518913022, 3518913023, 3029441711, 3518913026, 3029441712, 3518913027, 3491198410, 3029441713, 3491198429, 268310388, 3491198467, 268310391, 268310397, 3491198451, 3029441714, 3483461011, 268310398, 3483460886, 2166089953, 268310400, 2338579102, 2338579103, 2338579105, 268310403, 3029441715, 268310405, 2338579110, 2338579123, 268310407, 2338579127, 2338579129, 268310409, 3491107442, 2338579131, 3491109093, 2338579133, 268310410, 2338579136, 1633673569, 4170377013, 4170377014, 2338579142, 2338579140, 4170377010, 4170377012, 4170377011, 4170377009, 11252826107, 11252826116, 2338579138, 4170377008, 9758949735, 9758949737, 9758949736, 4027483870, 9758949733, 9758949734, 1633673571, 2338579146, 2338579147, 268310412, 2338579148, 268310413, 268310414, 2338579176, 6509742388, 4170377015, 268310415, 6509742387, 6509742386, 4027483871, 268310416, 4492428819, 6509742385, 268310418, 268310419, 6509724884, 6509724883, 3029400885, 268310420, 6509724882, 268310422, 6509724881, 6509724880, 268310423, 4170375980, 3029400886, 268310424, 3029400887, 6509742400, 6509742399, 6509742398, 268310425, 6509742397, 6509742396, 268310436, 6509742395, 6509742394, 268310439, 268310440, 11244906974, 268310441, 6509742393, 6509742392, 4170375981, 6509742391, 268310443, 268310444, 2864352510, 268310450, 3029400888, 268310451, 6509742390, 6509742389, 268310453, 268310454, 3029400889, 268311202, 268311203, 6509742405, 6509742406, 268311205, 6509742407, 6509742408, 6509742409, 6509742410, 268311206, 6509742412, 6509742411, 6509742414, 6509742415, 268311207, 6509742413, 268311209, 268311210, 6509742416, 268311211, 6509742417, 268311213, 6509742418, 6509742419, 268311215, 6509742420, 6509742421, 6509742422, 6509742423, 6509742424, 268311220, 6509742425, 268311221, 268311223, 268311224, 6509742426, 6509742428, 6509742427, 3029400890, 268311225, 268311226, 268311227, 3476546939, 268311228, 3029400891, 268311229, 3503351477, 268311230, 268311231, 268311232, 6509742402, 6509742401, 268311233, 268311234, 268311235, 6509742403, 268311236, 6509742404, 3513488806, 268311237, 3503406161, 3029400893, 268311239, 268311242, 268311244, 268311245, 268311246, 3499131202, 268311247, 268311248, 3499125403, 268311249, 268311250, 3029400892, 268311251, 268311252, 268311253, 3029400894, 268311254, 268311255, 268311256, 268311257, 268311258, 3029400896, 268311259, 3029400895, 268311260, 268311261, 3029400897, 3029400898, 268311275, 9758949730, 9758949731, 9758949729, 9758949732, 3478071219, 268311276, 268311277, 3029400899, 3029400900, 268311278, 268311279, 268311280, 3476853206, 268311287, 268311288, 3029400902, 268311290, 268311291, 3503353917, 268311292, 268311295, 268311296, 268311297, 268311298, 268311299, 268311300, 9758949727, 268311301, 9758949728, 268311302, 268311303, 268311304, 268311305, 3503353340, 268311307, 268311311, 3478085418, 268311312, 9758949725, 9758949724, 9758949726, 9758949723, 268311314, 3029400901, 268311318, 268311320, 268311321, 268311325, 268311694, 3029400903, 3488879791, 268311705, 268311710, 3029400904, 3513182133, 268311711, 268311712, 3513110296, 268311713, 268311714, 268311715, 9758949722, 9758949721, 9758949720, 268311716, 268311722, 3029400905, 3029400906, 268311723, 268311724, 10846306954, 268311725, 10846306953, 3029400907, 268311726, 9758949719, 9758949718, 268311727, 9758947916, 9758949717, 3029400908, 268311728, 268311729, 10846306955, 268311731, 9758947915, 268311732, 10846306957, 10846306956, 268311733, 10846306958, 10846306959, 268311734, 268311735, 3029400909, 3029400910, 268311736, 268311741, 268311742]"
