is_operational,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,suitability
0.0,0.2050031004020584,0.5242469266453471,0.0,-0.3978524617059302,-0.5280588014757344,0.6127963277555406,-1.2451003191522998,-1.1381489008872223,1.3323118051349234,0.3616697875941334,-0.6207328398882873,0.11869053235270229,-0.9296764819398537,-0.6302095134093859,-0.43639974064303994,-1.3360648193659388,0.6273648527466776,0
0.0,2.0123690058610055,2.54485625445811,0.0,-0.49207800443403027,-0.13440714759614497,0.7925405715278651,-0.06781224337078054,-0.699496082048595,-0.2034452716646363,0.8442037133893674,0.25622546889214415,1.9997556360031044,0.5196432658380675,0.8697212463900411,-0.4293573430264424,0.7677344510421036,0.6273648527466776,0
0.0,2.3187022101760815,3.399729431609664,0.0,-0.5313266225382313,-0.41558690036728024,0.4786570959953536,0.22650977557459925,-1.1381489008872223,1.2356697719356031,0.8442037133893674,0.019636268736362608,-1.135352870080899,1.2094109121835561,0.3196157504531312,-0.8096468143227102,0.06646802757275592,0.6273648527466776,0
0.0,2.2574355693130665,2.54485625445811,0.0,-0.2005992964543028,-0.4718228509215073,-0.25009238166797115,0.22650977557459925,-1.1381489008872223,1.4820318462053728,0.3616697875941334,0.46283512469368226,-1.135352870080899,1.2094109121835561,0.0694964064761061,-0.5983748858247836,-0.13389380770420067,0.6273648527466776,0
0.0,1.491602558525377,-0.17519476375137868,0.0,1.2227402953833375,-0.41558690036728024,0.8888695254718675,2.8754079460830173,1.932420830983169,-0.18078697113474385,-0.6033980639963348,-0.9591920786684385,-0.5083311688640983,0.37994512519179613,1.519560358292673,-0.78147722385632,0.7677344510421036,0.6273648527466776,0
0.0,1.7979357628404526,1.4568358471743148,0.0,0.15667856540599692,-0.19064309815037203,0.29484097615051735,0.22650977557459925,-0.699496082048595,0.7698601792741132,0.8442037133893674,-0.2023029777551286,2.626777337219905,-0.06350924079125655,1.2195742063327875,0.4086879733486663,0.7677344510421036,0.6273648527466776,0
0.0,-0.7446298329746766,-0.5637734806384486,0.0,-0.13667599564488717,0.42795235794612557,-1.1538161911329627,-1.9809053665157492,-1.1381489008872223,1.1921057466074123,1.8092715649798354,-0.5898471128331599,1.3727339347863037,-1.7525515148400685,-0.08010401747247561,2.162244979881457,0.06646802757275592,-1.281979983475494,0
0.0,-0.9284297555637221,-0.7192049673932766,0.0,-3.7394682633863923,-0.5842947520299614,-0.13701056616849003,-1.3922613286249896,-1.1381489008872223,1.7346531195165487,-1.0859319897915687,-0.017139645874510605,0.11869053235270229,-1.5704657792520982,-1.4803011613061816,0.007271309202605939,-0.8351602311735479,-2.7291421410883303,0
0.0,-0.8977964351322145,-0.6414892240158625,0.0,-3.641491014515979,-0.3031149992588261,-0.05347893702381126,-0.5092952717888503,0.616462374467287,0.33860136532118806,1.8092715649798354,-0.12067101945050045,0.11869053235270229,-0.5145235894087283,0.6196019024130166,0.5284087328308247,0.7677344510421036,-2.490474036560559,0
0.0,-0.346396667365078,-0.09747902037396472,0.0,-0.5290178802968076,-0.19064309815037203,0.27866981117682627,0.8151538134653589,0.616462374467287,0.0232629176151161,-0.6033980639963348,-0.04553337050220728,-1.135352870080899,1.2094109121835561,-0.030237209489615228,-0.34484857162727184,0.7677344510421036,0.6273648527466776,0
