is_operational,competitors_within_500m,competitors_within_200m,competitors_min_distance,competitors_avg_distance,roads_within_500m,roads_avg_distance,schools_within_500m,schools_within_200m,schools_min_distance,hospitals_within_500m,hospitals_min_distance,bus_stops_within_500m,bus_stops_min_distance,population_density_proxy,accessibility_score,foot_traffic_score,competition_pressure,target_encoded
-1.0,-0.979996759630284,-0.8346950491462756,0.0,-3.737263666157272,-0.8326094786269085,-3.8923128714877406,-2.4368012426133285,-1.637401124519488,-1.5764781179568375,-2.325303931310919,-1.72928777058248,-1.06093133056678,-2.0200903773316057,-2.6900686652780057,-1.0947428660718714,-5.613087567146772,-3.464412422874705,0
-1.0,-0.9715511567443493,-0.8226155756088674,0.0,-3.741788166849548,-0.8104721036837462,-3.8678513614261165,-2.3501757917772443,-1.4449848290444143,-1.6018244403519777,-1.6267869626808376,-1.7424007825091004,-1.4540875443635908,-2.023114423083853,-2.6508001354416644,-1.5559797530412791,-4.208017290902515,-2.923347948880815,0
-1.0,-0.9809351599509436,-0.8467745226836836,0.0,-3.7303925882536784,-0.835771960761646,-3.8619109216728678,-2.155268527396054,-1.2525685335693406,-1.6130574339793033,-1.6267869626808376,-1.7316583202923719,-0.667775116769969,-2.0195150445901175,-2.6036994842245376,-1.8089161104115994,-3.8567497218414504,-3.5562642168683625,0
-1.0,-0.9856271615542405,-0.8528142594523878,0.0,-3.7602630378309394,-0.8547468535700707,-3.849810777814575,-2.285206703650181,-1.2525685335693406,-1.602349419825353,-2.0924649417675583,-1.736376039260362,-1.8472437581604015,-2.013536260222841,-2.6645526005433595,-2.6520373016460006,-4.634556481905236,-4.012652818274349,0
-1.0,-0.9781199589889652,-0.8346950491462756,0.0,-3.7388856569714846,-0.8326094786269085,-3.892342648128108,-2.371832154486265,-1.4449848290444143,-1.6024246407648217,-1.859625952224198,-1.7557493097184211,-0.667775116769969,-2.0288343494687475,-2.6527735833486346,-0.3805696217321438,-4.2331078315497335,-3.2821440191685403,0
-1.0,-0.9546599509724797,-0.7924168917653471,0.0,-3.7434871970220733,-0.835771960761646,-3.8706192354966094,-2.328519429068223,-1.637401124519488,-1.575758817723168,-1.393947973137477,-1.7465026261615546,-1.06093133056678,-2.0179406035392096,-2.6311735793043804,-1.8535519381828325,-4.458922697374704,-2.923347948880815,0
-1.0,-0.9602903528964363,-0.8226155756088674,0.0,-3.727448435479229,-0.7788472823363715,-3.8895111603259216,-2.4151448799043074,-1.637401124519488,-1.5649411063658258,-2.0924649417675583,-1.739498755212098,-1.06093133056678,-2.0279738554337645,-2.6763316177380845,-0.2912979661896776,-5.437453782616241,-2.923347948880815,0
-1.0,-0.968735955782371,-0.8407347859149796,0.0,-3.717743558476607,-0.8136345858184837,-3.877332514415752,-2.1336121646870327,-1.2525685335693406,-1.6127205068545998,-1.393947973137477,-1.7500650086579925,-0.667775116769969,-2.0255873518413514,-2.5899470191228433,-0.6731822704546709,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9818735602716029,-0.8407347859149796,0.0,-3.743722479386651,-0.7788472823363715,-3.8846101960182167,-2.5234266934494136,-1.637401124519488,-1.5681928448949414,-0.6954310045073958,-1.7415516729305514,-0.2746189029731582,-2.027086640574794,-2.625284070707018,-0.19706677422818566,-4.684737563199674,-3.6466808265808695,0
-1.0,-0.9621671535377551,-0.8467745226836836,0.0,-3.7253621263703196,-0.8167970679532212,-3.874349436444423,-2.0902994392689904,-1.2525685335693406,-1.591511336130238,-1.1611089835941169,-1.749271784061779,-1.8472437581604015,-2.013536260222841,-2.5899470191228433,-1.5708583622983567,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9668591551410521,-0.7682579446905309,0.0,-3.7618350571694887,-0.8231220322226961,-3.863382158403736,-2.155268527396054,-1.0601522380942672,-1.6044603074391934,-1.859625952224198,-1.7465471060454543,-1.8472437581604015,-2.013536260222841,-2.6311735793043804,-2.0568929313628943,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9734279573856681,-0.8226155756088674,0.0,-3.742046352807138,-0.8484218893005958,-3.880185657956387,-2.4584576053223497,-1.2525685335693406,-1.5909221054377332,-2.0924649417675583,-1.742946516469256,-1.06093133056678,-2.0252391461037598,-2.6841791566806434,-1.789077964735496,-4.709828103846893,-2.923347948880815,0
-1.0,-0.9612287532170957,-0.8226155756088674,0.0,-3.7330077621466824,-0.835771960761646,-3.8919014124572127,-2.285206703650181,-0.8677359426191935,-1.6014593053749733,-1.859625952224198,-1.7317763630611829,-1.06093133056678,-2.0260729193147555,-2.6429525964991054,-1.0997024024908975,-4.383651075433047,-2.923347948880815,0
-1.0,-0.9734279573856681,-0.8286553123775715,0.0,-3.735804082638963,-0.8515843714353333,-3.858108986091442,-2.371832154486265,-0.6753196471441199,-1.6130135550979467,-1.6267869626808376,-1.752892902815162,-1.4540875443635908,-2.0160960316582996,-2.654731613693831,-2.533008427589379,-4.283288912844172,-2.923347948880815,0
-1.0,-0.9706127564236898,-0.8286553123775715,0.0,-3.7269445564329655,-0.7408974967195218,-3.87740695601667,-2.198581252814096,-0.4829033516690463,-1.609617643101516,-1.1611089835941169,-1.752945366267967,-1.06093133056678,-2.0263664308657465,-2.597809975627175,-0.8715637272157066,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9828119605922623,-0.8467745226836836,0.0,-3.731727243082831,-0.835771960761646,-3.8703769619227133,-2.285206703650181,-1.2525685335693406,-1.6029057413568404,-1.6267869626808376,-1.7490237231707995,-1.4540875443635908,-2.019284994996097,-2.6390211182469394,-1.9279449844682208,-3.9822024250775447,-3.738532620574527,0
-1.0,-0.9762431583476464,-0.8286553123775715,0.0,-3.7347650923741473,-0.7630348716626841,-3.8899212658727964,-2.198581252814096,-0.6753196471441199,-1.6034025129779146,-1.859625952224198,-1.7563258374443533,0.11853731082365264,-2.026798556691175,-2.6095889928219,-0.18714770139013423,-3.8567497218414504,-3.098440431181225,0
-1.0,-0.9640439541790738,-0.8467745226836836,0.0,-3.721695469343583,-0.8452594071658583,-3.8671448429592234,-2.393488517195286,-1.637401124519488,-1.5813533750961526,-1.393947973137477,-1.7403934851843905,-1.06093133056678,-2.027391842486279,-2.6429525964991054,-1.9527426665633505,-5.061095672907956,-2.923347948880815,0
-1.0,-0.9875039621955595,-0.8528142594523878,0.0,-3.793427440512287,-0.7978221751447963,-3.8897412525469406,-2.610052144285498,-1.637401124519488,-1.5411650210820946,-2.325303931310919,-1.72928777058248,-1.4540875443635908,-2.0197997883707375,-2.7273637472073777,-0.6979799525498005,-6.290532164621682,-4.194921221980513,1
-1.0,-0.9828119605922623,-0.8346950491462756,0.0,-3.751334800845905,-0.8073096215490086,-3.867140782508264,-2.4151448799043074,-1.0601522380942672,-1.5981025709511827,-1.859625952224198,-1.7448072582790652,-1.4540875443635908,-2.0341200624638396,-2.6724001394859185,-1.2385694222236223,-3.906930803135888,-3.738532620574527,0
-1.0,-0.9668591551410521,-0.7622182079218268,0.0,-3.7560217088340844,-0.8326094786269085,-3.8699208379316348,-2.176924890105075,-1.0601522380942672,-1.6169532518026197,-2.0924649417675583,-1.7445951234481583,-1.8472437581604015,-2.013536260222841,-2.644910626844302,-2.0320952492677646,-3.8818402624886694,-2.923347948880815,0
-1.0,-0.9856271615542405,-0.8467745226836836,0.0,-3.77559595228005,-0.8547468535700707,-3.849810777814575,-2.393488517195286,-1.2525685335693406,-1.5893001539304394,-1.6267869626808376,-1.747663665182324,-1.8472437581604015,-2.013536260222841,-2.6645526005433595,-2.6520373016460006,-4.433832156727485,-4.012652818274349,0
-1.0,-0.9856271615542405,-0.8467745226836836,0.0,-3.7524674876275887,-0.7567099073932092,-3.8731015245163083,-2.4584576053223497,-1.637401124519488,-1.5777866488830117,-1.1611089835941169,-1.7571224835700976,0.11853731082365264,-2.0324128523187426,-2.627257518613988,-0.36073147605604,-3.957111884430326,-4.012652818274349,0
-1.0,-0.9846887612335812,-0.8467745226836836,0.0,-3.745579752565441,-0.8231220322226961,-3.89960138095943,-2.480113968031371,-1.4449848290444143,-1.5929326984656154,-1.1611089835941169,-1.75429515966785,-0.2746189029731582,-2.0296581023707474,-2.637063087901743,0.8940312379575096,-4.2331078315497335,-3.9208010242806908,0
-1.0,-0.9734279573856681,-0.8105361020714592,0.0,-3.7415882809468974,-0.8515843714353333,-3.877562606636771,-2.4151448799043074,-1.0601522380942672,-1.594897845509235,-2.0924649417675583,-1.7502326636049996,-1.4540875443635908,-2.022096944207941,-2.6822211263354467,-2.2602339245429555,-4.634556481905236,-2.923347948880815,0
-1.0,-0.9828119605922623,-0.8467745226836836,0.0,-3.726936227853688,-0.7250850860458345,-3.8597818918866156,-2.5234266934494136,-1.637401124519488,-1.5570585787506686,-1.859625952224198,-1.7343869900931494,-1.06093133056678,-2.0162045850057506,-2.6861371870258397,-2.1263264412292564,-5.713449729735649,-3.738532620574527,0
-1.0,-0.9771815586683057,-0.8407347859149796,0.0,-3.7263865416214013,-0.6934602646984599,-3.870519077706284,-2.0686430765599697,-0.09807076071889903,-1.615704270786858,-1.859625952224198,-1.7362813769433443,-1.4540875443635908,-2.0220343172767197,-2.6095889928219,-1.4716676339178392,-3.8567497218414504,-3.1902922251748826,0
-1.0,-0.9771815586683057,-0.8467745226836836,0.0,-3.725135172585019,-0.8231220322226961,-3.858552928729644,-2.4368012426133285,-1.4449848290444143,-1.605536907135339,-2.0924649417675583,-1.7404738911283635,-0.667775116769969,-2.0249544023231394,-2.6743581698311147,-1.8188351832496514,-4.9356429696718624,-3.1902922251748826,0
-1.0,-0.9818735602716029,-0.8528142594523878,0.0,-3.722603284484786,-0.8136345858184837,-3.854913411186584,-2.0469867138509485,-0.2904870561939727,-1.6061183023133159,-2.0924649417675583,-1.7358525452421563,-1.4540875443635908,-2.0141378962754417,-2.6154785014192625,-2.409020017113732,-3.8567497218414504,-3.6466808265808695,0
-1.0,-0.968735955782371,-0.8105361020714592,0.0,-3.74663748213363,-0.7440599788542593,-3.880488838294671,-2.176924890105075,-0.2904870561939727,-1.6138801630047424,-1.6267869626808376,-1.7532436095920645,-1.8472437581604015,-2.013536260222841,-2.625284070707018,-1.3030433956709588,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.979996759630284,-0.8346950491462756,0.0,-3.739635229106422,-0.7693598359321591,-3.8612666634540145,-2.176924890105075,-0.6753196471441199,-1.6121594840143958,-1.393947973137477,-1.7481010507073391,-1.4540875443635908,-2.0181410097191184,-2.6095889928219,-2.0023380307536094,-3.8567497218414504,-3.464412422874705,0
-1.0,-0.9527831503311608,-0.8346950491462756,0.0,-3.7274838319411567,-0.829446996492171,-3.863805798787142,-2.328519429068223,-1.4449848290444143,-1.612233137850959,-1.393947973137477,-1.7495763001900164,-0.2746189029731582,-2.021441866507365,-2.6193945621096555,-1.6898872363549782,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9715511567443493,-0.8286553123775715,0.0,-3.7327495761890925,-0.8262845143574336,-3.878170320796991,-2.2635503409411597,-1.637401124519488,-1.5854623189146302,-1.6267869626808376,-1.7487254798467018,-1.4540875443635908,-2.023901434852869,-2.6351050575565464,-1.203852667290441,-4.408741616080266,-2.923347948880815,0
-1.0,-0.8917871294882985,-0.6172645254729293,0.0,-3.743455964849784,-0.8326094786269085,-3.8629436297001467,-2.176924890105075,-1.4449848290444143,-1.5973393918361565,-1.6267869626808376,-1.7467176122670702,-1.8472437581604015,-2.013536260222841,-2.625284070707018,-2.245355315285878,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.9677975554617116,-0.7863771549966431,0.0,-3.753146266838671,-0.8262845143574336,-3.8736023134679383,-2.198581252814096,-1.2525685335693406,-1.6126217793715472,-0.46259201496403546,-1.7496082344656367,-1.06093133056678,-2.0327255694619746,-2.5683624326403627,-1.035228429043561,-3.8567497218414504,-2.923347948880815,0
-1.0,-0.968735955782371,-0.8226155756088674,0.0,-3.733836455784752,-0.8104721036837462,-3.8718062406603373,-2.3501757917772443,-1.637401124519488,-1.5856785791156027,-1.6267869626808376,-1.748953581815419,-1.4540875443635908,-2.0277767893568543,-2.6508001354416644,-1.2336098858045965,-4.709828103846893,-2.923347948880815,0
-1.0,-0.9818735602716029,-0.8467745226836836,0.0,-3.727764921491758,-0.7567099073932092,-3.8781161814508693,-2.566739418867455,-1.4449848290444143,-1.59598541492572,-0.9282699940507563,-1.7566639986129764,0.11853731082365264,-2.033715910001024,-2.637063087901743,-0.8467660451205771,-3.8567497218414504,-3.6466808265808695,0
